Actual Price,Predicted Price
37287.799999999996,37447.17989171743
41567.59999999999,36512.30648021102
41412.09999999999,40546.31491987705
42392.19999999999,41834.56645247936
43833.899999999994,42371.104201507565
44038.2,43763.79502500295
44388.899999999994,44243.43794494867
43520.99999999999,44494.586980736254
42388.399999999994,43421.720526754856
42205.19999999999,41670.37975189686
42061.09999999999,41661.43876260519
42550.3,42093.67658345699
44544.399999999994,42149.97912099361
43883.59999999999,43785.71416728496
40552.799999999996,43898.21907540559
40000.09999999999,40548.38794028759
40090.299999999996,38956.556504833694
38355.0,39192.645657050605
37017.69999999999,38091.30130293369
38248.19999999999,36690.740841031075
37224.59999999999,37425.02121976614
38339.19999999999,37351.102363824844
39209.6,37916.93241386413
39115.49999999999,38559.18549365997
37689.1,38490.3577319622
43188.19999999999,37546.780683290955
44420.299999999996,42644.821287226674
43912.799999999996,45219.60409389734
42462.99999999999,44438.88544491529
39142.69999999999,42738.24656841755
39395.799999999996,38840.362839806075
38403.1,38270.44772013425
38024.799999999996,37981.94947627783
38744.8,37111.67286149263
41929.0,38249.72622619867
39416.299999999996,42110.482856070994
38730.2,40481.72901086807
38814.299999999996,37960.814249277115
37792.399999999994,37496.00910357237
39671.09999999999,37410.12247433662
39285.69999999999,39273.47603272199
41118.7,39775.40827716589
40914.8,40961.77259862423
41767.799999999996,41630.61782679558
42233.0,41498.43229002952
41275.99999999999,41521.740704393385
41021.99999999999,40706.25976777077
42373.0,40529.97028626203
42911.99999999999,42495.603013432024
44012.99999999999,43309.25045931339
44330.99999999999,44162.24174214601
44548.0,44226.23535960913
46858.99999999999,44024.07667381763
47105.0,46193.65802667141
47448.99999999999,47083.380095517634
47074.99999999999,47196.594882476325
45524.99999999999,47124.605329144
46296.99999999999,45762.84867366552
45810.99999999999,45646.8814730525
46406.99999999999,45496.12149920463
46628.99999999999,45586.87275826931
45505.99999999999,46123.5411598444
43172.99999999999,45493.51715843677
43448.0,42920.11926876306
42274.99999999999,42526.502340769766
42766.99999999999,41621.74216377735
42138.0,41830.36815063953
39496.99999999999,41936.85433143377
40077.99999999999,39249.13110815286
41133.0,39329.016430401796
39936.0,40755.23269742727
40559.99999999999,39585.50915535688
40381.99999999999,39776.41865686178
39703.0,40083.11680049896
40803.0,39656.12685694694
41502.99999999999,40714.82186467647
41367.99999999999,41169.98485242128
40481.99999999999,41110.359385108946
39709.0,40507.110445642465
39418.0,39519.04620475769
39463.99999999999,38959.84459393024
40426.99999999999,39017.3317145586
38112.99999999999,39976.41722054481
39242.99999999999,38273.26110497713
39747.99999999999,38566.2799269557
38580.99999999999,39630.401370465755
37649.99999999999,38443.66251170635
38460.99999999999,37075.38629413843
38513.99999999999,37753.621085345745
37717.99999999999,38421.38189737796
39687.99999999999,37821.96543262005
36543.99999999999,39231.13154227733
36009.0,36782.11923232078
35468.0,35333.92502936721
34060.0,35130.81693506837
30095.0,33492.015909010166
31007.499999999996,29777.59230918884
29068.2,30103.174100935455
28975.999999999996,28956.360482960936
29284.399999999998,28490.516649508474
30080.4,28759.23845285177
31308.7,29548.13812881112
29848.999999999996,31059.548566573856
30437.499999999996,30447.400011122223
28683.7,30099.30678554773
30305.9,28622.24272481799
29178.6,30054.351421707866
29434.6,29653.679256182906
30286.599999999995,29245.69272557497
29093.299999999996,30098.657877898215
29648.699999999997,29559.25883809328
29540.599999999995,29242.814014458654
29203.499999999996,29286.247276127335
28601.2,28939.16878533363
29027.1,28658.712205737826
29465.199999999997,28852.184674704073
31723.3,29508.178047347064
31793.399999999998,31596.935557156798
29798.499999999996,32127.82040598988
30455.5,29992.853267890212
29700.9,29809.854778099056
29864.3,29807.574891155957
29912.999999999996,29530.478259557483
31367.6,29868.432847493885
31128.8,31249.245176935194
30201.599999999995,31539.97322425842
30097.8,30645.484514993426
29083.3,29580.57044603228
28403.4,28633.258912062644
26606.3,28014.90000554919
22448.0,26536.660071897506
22157.299999999996,22318.46855934858
22577.9,20995.459094190595
20386.599999999995,22081.615089732408
20444.6,20070.02532919645
18986.499999999996,19210.257534265515
20577.199999999997,18352.978670352695
20572.299999999996,19954.93350064754
20720.4,20916.409948241708
19965.8,20536.470164364575
21100.7,19600.412169766423
21226.9,20997.02474721074
21489.9,21620.577092462776
21043.5,21384.890785598753
20730.2,20810.840512818097
20278.0,20485.72471515536
20111.3,20298.61284767985
19926.6,20026.7248976171
19262.9,19365.08297986388
19243.2,19053.481010633706
19309.9,18944.76502637267
20215.8,19071.58509854674
20200.6,20022.88371273875
20561.1,19943.264050668477
21637.799999999996,20528.075738227366
21611.199999999997,21467.728855407237
21587.499999999996,21804.65564330816
20847.4,21710.385475647447
19963.199999999997,20782.987567365166
19330.899999999998,19805.39512811303
20250.0,19130.600853973625
20586.0,19854.22869505286
20825.099999999995,20496.692996466158
21209.899999999998,20742.783601146934
20785.6,21347.65698727965
22525.8,20929.59932284951
23410.2,22208.507020807265
23215.199999999997,23556.257723259925
23152.999999999996,23306.916047704217
22675.2,23335.84687666893
22460.4,22941.13028973937
22582.1,22415.97237754464
21301.9,22382.135545444486
21248.7,21014.16853890419
22958.3,20757.33611732721
23850.0,22759.686565256117
23774.3,24217.564299476144
23634.2,24220.66294237971
23303.399999999998,23718.534719115494
23271.2,23183.246879452465
22988.599999999995,23204.83721282482
22820.799999999996,22894.99905297756
22612.1,22518.110006070136
23308.2,22529.25684586167
22944.2,23436.368768697976
23175.299999999996,23200.055329608917
23816.3,22929.402046114203
23146.7,23444.861184245347
23962.9,23211.269673216342
23935.3,23879.762139511105
24398.699999999997,24151.24942176342
24442.5,24561.01500455141
24302.8,24631.58915529251
24101.699999999997,24383.972093355653
23856.8,23968.34021121263
23338.0,23660.636042964456
23203.6,23187.959081310033
20831.299999999996,23050.231699013708
21138.9,20883.243799215554
21517.199999999997,20620.316436326502
21416.299999999996,21227.09081701636
21517.199999999997,21286.70104153156
21365.199999999997,21271.26444311738
21565.4,21218.302255696057
20249.9,21453.00649091601
20033.9,20384.599643868205
19550.2,19616.038214373588
20295.8,19039.653616088628
19792.6,20077.165490883588
20043.9,20059.786524605748
20126.099999999995,19910.694548273084
19952.7,20079.0425324738
19831.4,19972.647808462378
19999.9,19613.460004115102
19793.1,19733.958670562504
18786.399999999998,19534.826768773793
19281.499999999996,18936.573111683127
19317.399999999998,19019.46562005281
21365.199999999997,19203.63780522346
21650.4,21184.565590548515
21834.9,21872.61238802671
22395.3,21990.423967093226
20175.499999999996,22492.778654772043
20222.5,20604.16560398936
19701.7,19758.567077767846
19802.4,19396.419993233678
20113.5,19513.582664650676
19418.8,20085.947519576548
19538.899999999998,19536.747361212965
18872.4,19297.300438541173
18489.0,18770.29814789295
19403.999999999996,17966.967898130413
19293.499999999996,18809.365436953303
18925.2,19277.91160058379
18803.199999999997,19074.999485105272
19225.7,18893.962961059806
19080.999999999996,19198.962621587514
19410.999999999996,18933.313330638408
19593.0,19016.84385894537
19422.999999999996,19358.41534488797
19311.899999999998,19307.341086769102
19052.199999999997,19561.527794271704
19628.3,19121.50090408325
20340.199999999997,19378.701330333944
20157.499999999996,20358.048868799207
19956.699999999997,20102.200696408745
19531.299999999996,19922.494650799035
19415.0,19388.929247212407
19441.0,19177.433259403704
19134.6,19318.93432276249
19059.1,18785.042287808654
19154.799999999996,18876.623190546034
19379.799999999996,19045.391440439224
19181.8,19317.588601529595
19068.699999999997,19194.28090532422
19261.9,18793.525993186235
19548.2,19026.58400631547
19328.199999999997,19460.901380205152
19123.9,19352.433635783193
19042.899999999998,19017.87819160819
19162.6,18832.765308099984
19204.8,19063.976765233278
19571.199999999997,19102.512733936306
19331.499999999996,19345.097495275735
20082.7,19258.078543967007
20769.5,20008.30288850665
20292.9,20919.667551743983
20594.4,20458.43139811158
20809.799999999996,20470.784596419333
20626.299999999996,20778.658612978455
20496.299999999996,20632.499786323307
20483.499999999996,20441.640368294713
20154.4,20330.23729665279
20206.399999999998,20002.018501001596
21145.899999999998,20127.586486268043
21301.6,21014.543076205253
20916.299999999996,21321.025643140074
20589.0,20950.299041360613
18527.399999999998,20551.989509391784
15886.900000000001,18433.55427355766
17589.099999999995,15359.071203452348
17049.9,16512.4130936861
16795.199999999997,16877.488972812887
16324.5,16531.011483734845
16613.7,16253.08303092122
16895.099999999995,16405.88553958535
16540.5,16783.021737560626
16691.2,16478.63070014715
16638.299999999996,16077.77126597166
16699.2,16359.17398776114
16286.7,16984.797175881264
15776.2,16579.2886885792
16212.900000000001,15534.480957812071
16623.899999999998,15659.874739682675
16601.2,16371.348627588153
16512.3,16477.557171720266
16456.5,16373.00464861989
16425.6,16438.57371804416
16211.7,16619.4458376348
16440.399999999998,16114.331114903092
17163.9,16144.45523712933
16972.0,16804.065507778523
17093.6,16952.544505912065
16884.499999999996,17124.767426899074
17112.6,16794.481054693457
16966.499999999996,16939.61752516925
17089.3,16890.493256312606
16835.2,16861.32180890739
17225.7,16741.913002455232
17125.699999999997,17043.424239981174
17127.199999999997,17241.47499194443
17093.3,17069.889002123473
